	id	title	acceptance	difficulty
0	191	 Number of 1 Bits	61.8	Easy
1	1	 Two Sum	48.6	Easy
2	2	 Add Two Numbers	38.7	Medium
3	3	 Longest Substring Without Repeating Characters	33.1	Medium
4	4	 Median of Two Sorted Arrays	34.2	Hard
5	5	 Longest Palindromic Substring	31.8	Medium
6	6	 Zigzag Conversion	41.7	Medium
7	7	 Reverse Integer	26.8	Medium
8	8	 String to Integer (atoi)	16.5	Medium
9	9	 Palindrome Number	52.5	Easy
10	10	 Regular Expression Matching	28.3	Hard
11	11	 Container With Most Water	54.0	Medium
12	12	 Integer to Roman	59.6	Medium
13	13	 Roman to Integer	57.9	Easy
14	14	 Longest Common Prefix	39.6	Easy
15	15	 3Sum	31.2	Medium
16	16	 3Sum Closest	47.1	Medium
17	17	 Letter Combinations of a Phone Number	54.4	Medium
18	18	 4Sum	37.4	Medium
19	19	 Remove Nth Node From End of List	38.4	Medium
20	20	 Valid Parentheses	40.9	Easy
21	21	 Merge Two Sorted Lists	60.5	Easy
22	22	 Generate Parentheses	70.3	Medium
23	23	 Merge k Sorted Lists	47.2	Hard
24	24	 Swap Nodes in Pairs	58.9	Medium
25	25	 Reverse Nodes in k-Group	51.3	Hard
26	26	 Remove Duplicates from Sorted Array	49.1	Easy
27	27	 Remove Element	51.3	Easy
28	28	 Implement strStr()	36.1	Easy
29	29	 Divide Two Integers	17.0	Medium
30	30	 Substring with Concatenation of All Words	28.2	Hard
31	31	 Next Permutation	36.5	Medium
32	32	 Longest Valid Parentheses	32.3	Hard
33	33	 Search in Rotated Sorted Array	37.9	Medium
34	34	 Find First and Last Position of Element in Sorted Array	40.2	Medium
35	35	 Search Insert Position	42.3	Easy
36	36	 Valid Sudoku	55.3	Medium
37	37	 Sudoku Solver	54.3	Hard
38	38	 Count and Say	48.8	Medium
39	39	 Combination Sum	65.8	Medium
40	40	 Combination Sum II	52.5	Medium
41	41	 First Missing Positive	36.1	Hard
42	42	 Trapping Rain Water	56.7	Hard
43	43	 Multiply Strings	37.9	Medium
44	44	 Wildcard Matching	26.6	Hard
45	45	 Jump Game II	37.3	Medium
46	46	 Permutations	72.6	Medium
47	47	 Permutations II	55.5	Medium
48	48	 Rotate Image	66.9	Medium
49	49	 Group Anagrams	64.4	Medium
50	50	 Pow(x, n)	32.4	Medium
51	51	 N-Queens	57.8	Hard
52	52	 N-Queens II	66.5	Hard
53	53	 Maximum Subarray	49.6	Easy
54	54	 Spiral Matrix	41.7	Medium
55	55	 Jump Game	37.9	Medium
56	56	 Merge Intervals	45.0	Medium
57	57	 Insert Interval	37.5	Medium
58	58	 Length of Last Word	38.0	Easy
59	59	 Spiral Matrix II	65.1	Medium
60	60	 Permutation Sequence	42.3	Hard
